Language,Total Problems,Solved Problems,Total Easy,Solved Easy,Total Medium,Solved Medium,Total Hard,Solved Hard
Kotlin,188,85,55,50,94,33,39,2.0
Java,188,82,55,49,94,33,39,0.0
Rust,188,82,55,48,94,33,39,1.0
Scala,188,82,55,51,94,29,39,2.0
Go,188,81,55,47,94,33,39,1.0
C#,188,80,55,50,94,29,39,1.0
C++,188,80,55,47,94,31,39,2.0
PHP,188,80,55,49,94,31,39,0.0
Python2,188,80,55,49,94,29,39,2.0
TypeScript,188,79,55,47,94,31,39,1.0
Dart,188,78,55,50,94,28,39,0.0
JavaScript,188,78,55,46,94,31,39,1.0
Python3,188,78,55,47,94,29,39,2.0
Swift,188,78,55,46,94,31,39,1.0
Ruby,188,76,55,48,94,27,39,1.0
C,188,75,55,50,94,25,39,0.0
Racket,188,53,55,41,94,12,39,0.0
Elixir,188,45,55,38,94,6,39,1.0
Erlang,188,45,55,36,94,9,39,0.0
